Time_slot:10-30, pid:12, arrival-time:10, remaining_time:180
Time_slot:30-50, pid:5, arrival-time:10, remaining_time:280
Time_slot:50-70, pid:12, arrival-time:10, remaining_time:160
Time_slot:70-90, pid:15, arrival-time:30, remaining_time:180
Time_slot:90-110, pid:5, arrival-time:10, remaining_time:260
Time_slot:110-130, pid:15, arrival-time:30, remaining_time:160
Time_slot:130-190, pid:12, arrival-time:10, remaining_time:100
Time_slot:190-250, pid:5, arrival-time:10, remaining_time:200
Time_slot:250-310, pid:15, arrival-time:30, remaining_time:100
Time_slot:310-370, pid:12, arrival-time:10, remaining_time:40
Time_slot:370-430, pid:5, arrival-time:10, remaining_time:140
Time_slot:430-490, pid:15, arrival-time:30, remaining_time:40
Time_slot:490-500, pid:12, arrival-time:10, remaining_time:30
Time_slot:500-520, pid:15, arrival-time:30, remaining_time:20
Time_slot:520-540, pid:12, arrival-time:10, remaining_time:10
Time_slot:540-560, pid:5, arrival-time:10, remaining_time:120
Time_slot:560-580, pid:15, arrival-time:30, remaining_time:0
Time_slot:580-590, pid:12, arrival-time:10, remaining_time:0
Time_slot:590-610, pid:5, arrival-time:10, remaining_time:100
Time_slot:610-670, pid:5, arrival-time:10, remaining_time:40
Time_slot:670-710, pid:5, arrival-time:10, remaining_time:0
