Time_slot:10-30, pid:1023, arrival-time:10, remaining_time:1640
Time_slot:30-50, pid:12, arrival-time:10, remaining_time:328
Time_slot:50-70, pid:1023, arrival-time:10, remaining_time:1620
Time_slot:70-90, pid:12, arrival-time:10, remaining_time:308
Time_slot:90-120, pid:1023, arrival-time:10, remaining_time:1590
Time_slot:120-150, pid:12, arrival-time:10, remaining_time:278
Time_slot:150-180, pid:1023, arrival-time:10, remaining_time:1560
Time_slot:180-210, pid:12, arrival-time:10, remaining_time:248
Time_slot:210-270, pid:1023, arrival-time:10, remaining_time:1500
Time_slot:270-330, pid:12, arrival-time:10, remaining_time:188
Time_slot:330-390, pid:1023, arrival-time:10, remaining_time:1440
Time_slot:390-450, pid:12, arrival-time:10, remaining_time:128
Time_slot:450-500, pid:1023, arrival-time:10, remaining_time:1390
Time_slot:500-520, pid:1023, arrival-time:10, remaining_time:1370
Time_slot:520-540, pid:142, arrival-time:500, remaining_time:328
Time_slot:540-560, pid:12, arrival-time:10, remaining_time:108
Time_slot:560-580, pid:1023, arrival-time:10, remaining_time:1350
Time_slot:580-600, pid:142, arrival-time:500, remaining_time:308
Time_slot:600-620, pid:12, arrival-time:10, remaining_time:88
Time_slot:620-650, pid:1023, arrival-time:10, remaining_time:1320
Time_slot:650-680, pid:142, arrival-time:500, remaining_time:278
Time_slot:680-710, pid:12, arrival-time:10, remaining_time:58
Time_slot:710-740, pid:1023, arrival-time:10, remaining_time:1290
Time_slot:740-770, pid:142, arrival-time:500, remaining_time:248
Time_slot:770-800, pid:12, arrival-time:10, remaining_time:28
Time_slot:800-860, pid:1023, arrival-time:10, remaining_time:1230
Time_slot:860-920, pid:142, arrival-time:500, remaining_time:188
Time_slot:920-948, pid:12, arrival-time:10, remaining_time:0
Time_slot:948-1000, pid:1023, arrival-time:10, remaining_time:1178
Time_slot:1000-1020, pid:1023, arrival-time:10, remaining_time:1158
Time_slot:1020-1040, pid:142, arrival-time:500, remaining_time:168
Time_slot:1040-1060, pid:1023, arrival-time:10, remaining_time:1138
Time_slot:1060-1080, pid:142, arrival-time:500, remaining_time:148
Time_slot:1080-1110, pid:1023, arrival-time:10, remaining_time:1108
Time_slot:1110-1140, pid:142, arrival-time:500, remaining_time:118
Time_slot:1140-1170, pid:1023, arrival-time:10, remaining_time:1078
Time_slot:1170-1200, pid:142, arrival-time:500, remaining_time:88
Time_slot:1200-1260, pid:1023, arrival-time:10, remaining_time:1018
Time_slot:1260-1320, pid:142, arrival-time:500, remaining_time:28
Time_slot:1320-1380, pid:1023, arrival-time:10, remaining_time:958
Time_slot:1380-1408, pid:142, arrival-time:500, remaining_time:0
Time_slot:1408-1468, pid:1023, arrival-time:10, remaining_time:898
Time_slot:1468-1500, pid:1023, arrival-time:10, remaining_time:866
Time_slot:1500-1520, pid:1023, arrival-time:10, remaining_time:846
Time_slot:1520-1540, pid:1023, arrival-time:10, remaining_time:826
Time_slot:1540-1570, pid:1023, arrival-time:10, remaining_time:796
Time_slot:1570-1600, pid:1023, arrival-time:10, remaining_time:766
Time_slot:1600-1660, pid:1023, arrival-time:10, remaining_time:706
Time_slot:1660-1720, pid:1023, arrival-time:10, remaining_time:646
Time_slot:1720-1780, pid:1023, arrival-time:10, remaining_time:586
Time_slot:1780-1840, pid:1023, arrival-time:10, remaining_time:526
Time_slot:1840-1900, pid:1023, arrival-time:10, remaining_time:466
Time_slot:1900-1960, pid:1023, arrival-time:10, remaining_time:406
Time_slot:1960-2000, pid:1023, arrival-time:10, remaining_time:366
Time_slot:2000-2020, pid:1023, arrival-time:10, remaining_time:346
Time_slot:2020-2040, pid:1023, arrival-time:10, remaining_time:326
Time_slot:2040-2070, pid:1023, arrival-time:10, remaining_time:296
Time_slot:2070-2100, pid:1023, arrival-time:10, remaining_time:266
Time_slot:2100-2160, pid:1023, arrival-time:10, remaining_time:206
Time_slot:2160-2220, pid:1023, arrival-time:10, remaining_time:146
Time_slot:2220-2280, pid:1023, arrival-time:10, remaining_time:86
Time_slot:2280-2340, pid:1023, arrival-time:10, remaining_time:26
Time_slot:2340-2366, pid:1023, arrival-time:10, remaining_time:0
