Time_slot:10-30, pid:12, arrival-time:10, remaining_time:180
Time_slot:30-50, pid:5, arrival-time:10, remaining_time:280
Time_slot:50-70, pid:12, arrival-time:10, remaining_time:160
Time_slot:70-90, pid:5, arrival-time:10, remaining_time:260
Time_slot:90-150, pid:12, arrival-time:10, remaining_time:100
Time_slot:150-210, pid:5, arrival-time:10, remaining_time:200
Time_slot:210-270, pid:12, arrival-time:10, remaining_time:40
Time_slot:270-330, pid:5, arrival-time:10, remaining_time:140
Time_slot:330-370, pid:12, arrival-time:10, remaining_time:0
Time_slot:370-430, pid:5, arrival-time:10, remaining_time:80
Time_slot:430-490, pid:5, arrival-time:10, remaining_time:20
Time_slot:490-500, pid:5, arrival-time:10, remaining_time:10
Time_slot:500-510, pid:5, arrival-time:10, remaining_time:0
